age,listening_time,songs_played_per_day,skip_rate,is_churned
24,120,38,0.11,0
20,64,20,0.16,1
57,121,86,0.08,1
16,184,12,0.2,0
18,219,54,0.06,0
16,184,40,0.01,0
50,30,37,0.25,1
23,55,46,0.41,0
53,38,4,0.09,0
58,281,58,0.16,0
31,140,57,0.35,1
19,130,17,0.35,0
36,238,82,0.35,1
19,295,53,0.55,1
26,265,31,0.41,0
16,179,80,0.6,0
49,198,4,0.1,0
55,180,17,0.08,0
21,267,89,0.52,0
48,126,22,0.58,0
38,233,94,0.29,1
59,161,95,0.59,1
31,100,70,0.43,0
24,240,45,0.53,1
55,170,95,0.45,0
53,150,29,0.18,0
31,203,79,0.15,0
49,226,31,0.24,0
49,31,93,0.03,0
33,81,34,0.09,0
59,62,99,0.55,0
58,202,22,0.45,0
49,207,33,0.09,1
42,20,38,0.6,0
24,113,42,0.56,1
33,168,42,0.12,0
20,251,79,0.37,0
42,222,95,0.04,0
16,74,33,0.12,0
37,139,71,0.16,0
26,160,23,0.06,0
46,37,94,0.37,0
36,199,4,0.12,0
32,204,87,0.42,0
18,181,67,0.56,1
20,269,4,0.31,0
19,245,9,0.07,0
34,50,54,0.59,0
50,272,46,0.12,0
36,271,26,0.5,0
53,252,68,0.04,1
31,155,2,0.36,1
40,66,80,0.02,1
41,51,26,0.19,0
27,174,6,0.54,0
52,165,20,0.01,1
49,73,39,0.11,0
51,10,11,0.09,0
19,279,26,0.03,0
41,222,4,0.06,1
49,39,6,0.54,0
17,40,97,0.08,1
22,254,86,0.45,1
31,227,23,0.55,1
19,244,5,0.34,0
37,113,85,0.23,1
43,218,6,0.01,1
29,144,94,0.33,0
51,143,48,0.09,0
41,110,61,0.44,0
24,283,90,0.53,0
19,276,15,0.28,0
48,178,70,0.29,0
37,114,13,0.49,0
59,98,24,0.32,0
54,49,27,0.29,0
36,28,39,0.27,0
58,259,67,0.17,0
20,279,84,0.43,0
18,139,58,0.09,1
35,53,97,0.45,0
57,255,82,0.19,0
55,259,20,0.01,0
53,112,33,0.34,0
22,260,75,0.36,0
51,91,3,0.49,0
43,92,18,0.19,0
37,140,14,0.02,0
29,259,28,0.19,1
17,119,73,0.22,0
36,99,92,0.54,1
53,265,49,0.2,1
54,299,93,0.27,1
59,255,75,0.56,0
42,157,96,0.48,1
36,176,15,0.11,0
22,146,45,0.44,0
19,211,64,0.15,0
47,191,42,0.52,1
29,218,72,0.29,0
32,128,94,0.48,0
47,30,10,0.38,0
30,176,17,0.35,0
23,50,45,0.08,0
37,267,72,0.12,0
17,20,84,0.45,0
45,134,92,0.31,0
42,282,57,0.31,0
42,52,55,0.05,1
31,97,37,0.59,0
53,58,63,0.45,0
47,126,71,0.29,1
40,172,48,0.54,0
35,258,36,0.2,1
33,291,31,0.29,0
44,27,96,0.04,1
41,262,32,0.47,0
32,52,52,0.47,1
20,108,26,0.17,0
51,235,5,0.28,0
25,213,36,0.28,0
32,169,6,0.13,1
34,158,84,0.1,1
34,293,30,0.16,0
45,99,84,0.58,1
45,194,40,0.59,0
50,126,86,0.52,0
45,102,18,0.08,0
55,210,32,0.15,1
32,134,71,0.43,0
48,62,25,0.53,0
36,183,29,0.53,0
39,279,97,0.36,0
59,159,48,0.21,1
23,187,22,0.14,1
41,57,3,0.41,0
31,133,88,0.07,0
48,168,78,0.41,0
21,251,47,0.55,0
18,71,18,0.0,0
25,178,84,0.32,0
56,206,64,0.1,1
34,36,12,0.22,0
25,122,69,0.09,0
24,158,51,0.26,0
41,223,79,0.05,0
38,251,65,0.44,0
19,294,5,0.44,0
25,12,2,0.34,1
55,218,58,0.36,0
17,49,26,0.54,0
50,66,13,0.58,1
39,295,20,0.09,1
26,131,98,0.24,0
34,203,10,0.1,0
32,201,38,0.44,0
40,59,35,0.37,0
32,119,39,0.45,0
51,219,96,0.51,1
46,152,83,0.58,0
51,157,9,0.57,0
38,89,59,0.15,0
54,63,68,0.21,0
59,93,36,0.39,0
41,97,78,0.02,0
34,289,79,0.09,0
55,291,39,0.3,1
34,291,70,0.22,0
20,218,76,0.58,1
20,56,55,0.18,0
32,157,12,0.48,1
37,171,65,0.52,1
50,16,64,0.05,0
21,207,21,0.18,1
48,123,37,0.27,0
46,55,48,0.47,1
44,49,43,0.25,0
55,62,57,0.58,0
57,85,32,0.0,0
41,78,33,0.04,0
50,107,7,0.42,1
32,202,29,0.14,0
51,211,25,0.51,0
26,73,27,0.19,1
22,229,70,0.02,0
19,164,21,0.53,0
49,61,33,0.48,1
56,164,66,0.3,0
39,232,2,0.14,0
57,146,98,0.06,1
18,42,27,0.22,1
43,265,89,0.56,0
32,275,47,0.59,1
33,295,1,0.03,1
16,269,13,0.54,0
50,224,18,0.09,0
42,51,60,0.22,0
49,100,49,0.37,1
35,267,63,0.6,0
54,102,35,0.06,0
44,84,64,0.57,1
21,289,92,0.2,1
44,173,30,0.38,0
46,42,77,0.34,0
53,261,76,0.41,0
39,163,2,0.03,1
26,175,9,0.37,0
35,259,96,0.48,1
51,103,58,0.06,0
55,148,52,0.43,0
45,50,19,0.02,0
53,187,27,0.11,1
16,57,48,0.52,0
32,51,70,0.38,0
26,146,4,0.59,0
48,210,60,0.05,1
59,58,55,0.25,0
42,124,11,0.16,0
40,273,80,0.26,1
53,49,74,0.47,0
38,119,73,0.11,0
58,225,10,0.08,0
24,203,75,0.26,0
36,21,11,0.28,0
53,120,66,0.25,1
21,59,34,0.11,0
43,272,5,0.24,0
26,228,24,0.12,0
23,131,23,0.32,0
40,103,39,0.08,1
37,152,87,0.57,0
33,261,18,0.28,1
26,276,46,0.2,1
43,58,22,0.37,0
46,118,98,0.53,0
23,256,83,0.17,0
30,84,22,0.25,0
32,51,8,0.29,0
29,107,23,0.52,1
19,289,61,0.31,0
19,264,89,0.35,0
24,227,97,0.03,0
16,97,86,0.15,0
44,168,40,0.56,1
42,23,66,0.49,0
55,271,98,0.5,1
38,104,59,0.01,1
30,251,59,0.11,0
20,105,75,0.25,0
40,281,77,0.38,0
58,93,50,0.18,0
20,146,74,0.33,0
43,170,73,0.48,0
37,40,91,0.57,0
48,171,31,0.4,0
53,36,67,0.21,0
25,274,57,0.05,0
51,79,71,0.11,0
42,91,81,0.52,0
50,69,20,0.13,1
56,14,93,0.07,1
47,55,7,0.54,0
41,88,34,0.3,0
20,236,78,0.35,0
57,214,85,0.58,0
35,172,5,0.05,0
40,163,11,0.3,0
46,123,9,0.27,0
48,251,28,0.49,0
49,191,92,0.49,0
44,35,14,0.44,0
47,250,86,0.0,1
46,247,67,0.32,1
44,18,51,0.38,1
52,296,35,0.22,0
37,25,62,0.47,0
41,166,86,0.03,0
55,98,17,0.17,1
28,288,86,0.16,1
40,10,54,0.5,0
19,188,15,0.27,0
53,65,55,0.56,0
20,210,82,0.51,0
18,128,28,0.33,1
25,72,32,0.32,1
26,150,40,0.06,0
24,57,35,0.48,0
41,199,12,0.4,1
21,211,96,0.57,0
30,115,68,0.49,0
37,260,30,0.51,0
39,110,17,0.58,0
53,224,11,0.11,0
39,63,96,0.32,0
48,40,62,0.01,0
41,163,45,0.47,1
52,211,48,0.47,0
51,72,82,0.44,0
20,16,82,0.09,0
58,205,11,0.47,0
22,290,17,0.43,0
33,86,30,0.55,0
35,34,1,0.45,1
21,192,95,0.3,0
31,65,7,0.04,0
54,225,60,0.19,1
49,266,2,0.46,1
44,196,36,0.42,0
51,294,73,0.28,0
56,38,82,0.31,1
33,123,23,0.31,0
42,102,95,0.14,0
19,43,30,0.32,0
16,112,81,0.07,1
29,150,27,0.1,0
43,28,41,0.17,0
42,256,12,0.51,1
38,205,38,0.38,0
20,174,85,0.5,0
23,181,89,0.29,1
51,299,71,0.58,1
17,292,27,0.17,0
17,141,15,0.45,0
37,184,14,0.59,0
55,118,13,0.42,0
48,164,70,0.15,0
38,283,69,0.01,0
55,47,24,0.59,0
23,101,88,0.45,1
49,270,92,0.38,0
38,208,18,0.38,0
40,172,21,0.36,0
31,236,11,0.13,0
36,265,25,0.19,0
57,54,65,0.01,1
48,191,78,0.32,0
21,251,94,0.12,0
21,260,97,0.25,0
23,213,64,0.34,1
28,152,11,0.15,0
53,226,99,0.05,0
20,115,28,0.09,0
43,55,64,0.07,1
25,123,18,0.56,0
56,110,42,0.4,1
21,164,90,0.55,0
24,185,77,0.54,0
38,262,5,0.31,0
20,230,32,0.04,0
28,17,64,0.42,1
58,274,18,0.03,0
47,75,19,0.28,0
24,250,81,0.27,0
20,35,61,0.33,0
41,33,1,0.08,1
35,270,39,0.29,0
21,192,52,0.46,1
17,195,60,0.26,0
49,288,46,0.05,0
35,155,84,0.21,1
34,136,3,0.04,1
38,137,38,0.02,0
35,111,62,0.47,1
38,211,72,0.35,0
39,168,69,0.54,1
53,86,27,0.15,0
42,219,2,0.04,0
40,66,51,0.3,0
48,73,97,0.41,1
52,274,56,0.09,0
44,169,69,0.06,0
30,88,58,0.33,0
57,286,87,0.53,0
29,23,98,0.36,0
49,296,69,0.35,0
25,264,51,0.09,0
32,167,56,0.19,0
39,87,62,0.12,0
22,92,70,0.51,0
23,101,96,0.41,1
53,139,1,0.54,0
46,159,93,0.47,1
41,229,15,0.56,0
30,281,63,0.02,0
40,286,44,0.58,0
46,261,12,0.6,0
25,295,56,0.17,0
41,256,51,0.57,0
27,173,27,0.52,0
45,124,49,0.05,1
52,230,12,0.11,0
48,292,21,0.26,0
38,205,25,0.02,0
44,48,61,0.26,0
45,271,6,0.09,0
25,166,5,0.4,0
50,285,46,0.4,0
58,175,33,0.37,1
35,205,71,0.28,0
18,101,95,0.17,0
21,134,80,0.23,0
32,12,38,0.24,0
33,147,82,0.5,0
41,174,8,0.17,1
33,86,57,0.26,0
35,99,19,0.01,1
18,78,92,0.26,0
58,274,60,0.45,0
46,28,53,0.02,0
21,211,86,0.09,0
33,121,41,0.08,0
39,32,34,0.48,0
27,246,65,0.6,1
26,15,15,0.46,0
23,55,10,0.19,0
58,40,72,0.42,0
51,143,35,0.08,0
22,263,74,0.18,0
58,178,98,0.43,0
37,30,38,0.16,0
34,278,29,0.42,0
23,230,75,0.29,1
32,215,39,0.4,0
41,196,51,0.35,0
28,125,94,0.33,0
19,222,80,0.46,0
35,233,41,0.14,0
25,177,24,0.01,0
44,99,9,0.53,0
58,34,58,0.16,0
37,138,87,0.29,1
21,254,22,0.22,1
28,233,63,0.03,1
19,219,39,0.28,0
21,91,20,0.56,0
41,31,21,0.09,0
31,205,64,0.24,0
40,21,91,0.14,0
57,11,52,0.49,1
22,222,93,0.33,0
54,123,27,0.26,0
42,287,96,0.08,1
37,197,19,0.22,0
51,267,12,0.48,1
26,12,62,0.44,0
44,243,17,0.42,0
53,140,28,0.4,0
54,111,87,0.36,0
27,238,54,0.3,1
29,225,40,0.53,0
24,214,4,0.25,0
58,112,1,0.17,0
16,85,98,0.51,0
37,192,7,0.39,0
16,216,27,0.31,0
24,283,88,0.3,0
32,113,88,0.01,0
29,60,15,0.17,0
31,115,84,0.1,1
59,180,84,0.35,1
56,290,84,0.05,0
20,106,10,0.19,0
27,296,79,0.27,0
41,68,8,0.34,0
16,177,34,0.15,0
34,198,17,0.54,0
23,78,68,0.37,1
25,290,76,0.4,0
58,36,57,0.02,0
51,108,14,0.5,0
48,98,88,0.18,0
22,287,17,0.42,0
33,172,51,0.51,0
54,89,95,0.36,0
50,200,14,0.28,0
28,289,11,0.55,1
48,23,76,0.58,1
21,170,51,0.53,1
19,227,48,0.56,0
26,290,66,0.36,0
55,200,50,0.04,0
59,34,63,0.39,1
24,105,3,0.01,0
58,216,31,0.33,1
23,105,55,0.55,0
53,244,64,0.24,0
29,30,41,0.39,0
23,126,34,0.57,1
29,106,55,0.35,0
49,295,17,0.4,0
23,230,52,0.43,0
29,102,74,0.32,0
43,152,55,0.3,0
31,77,80,0.35,0
43,78,48,0.21,0
39,220,18,0.05,0
38,245,12,0.52,1
31,30,42,0.06,0
35,226,55,0.25,1
44,133,18,0.4,0
33,118,36,0.58,0
27,115,61,0.31,0
38,155,80,0.07,0
30,125,65,0.37,0
55,190,5,0.58,0
20,164,33,0.34,1
33,126,49,0.45,0
47,272,8,0.32,0
47,263,79,0.58,1
38,127,4,0.0,0
55,281,21,0.12,0
40,210,64,0.56,0
49,206,27,0.41,0
52,285,82,0.57,0
35,29,18,0.42,1
53,67,87,0.28,0
52,252,44,0.34,0
22,291,97,0.24,0
58,136,57,0.47,0
33,154,52,0.32,0
20,279,67,0.4,0
21,199,85,0.19,0
56,30,66,0.35,0
54,158,2,0.34,0
51,83,10,0.33,0
24,161,23,0.45,1
21,183,20,0.21,0
58,131,47,0.06,0
26,126,52,0.22,1
32,282,22,0.19,1
44,240,46,0.11,1
22,169,52,0.1,1
29,238,61,0.09,0
37,276,17,0.4,0
18,101,8,0.43,0
27,176,20,0.05,1
43,161,84,0.08,0
58,153,24,0.29,0
20,199,52,0.22,0
37,252,58,0.41,0
39,79,5,0.37,0
36,15,11,0.49,0
51,73,81,0.1,0
28,20,16,0.1,0
39,141,49,0.54,0
51,250,72,0.12,1
46,191,45,0.01,0
18,157,48,0.44,1
46,53,28,0.08,0
42,64,70,0.05,1
46,160,17,0.5,0
35,227,39,0.44,0
57,183,58,0.0,0
38,186,46,0.07,0
31,176,37,0.29,1
20,274,54,0.6,0
26,183,65,0.52,0
58,293,47,0.06,0
51,70,51,0.45,0
23,64,85,0.16,0
38,291,75,0.33,0
31,218,60,0.06,0
24,211,76,0.52,0
42,126,90,0.03,0
27,231,59,0.12,0
57,290,16,0.17,0
36,77,85,0.0,0
16,154,29,0.34,0
24,105,48,0.38,1
53,113,65,0.38,0
36,174,11,0.29,0
51,32,59,0.02,0
42,271,99,0.34,0
29,97,26,0.44,0
59,266,90,0.06,0
22,276,11,0.13,0
52,81,16,0.37,0
27,116,39,0.44,1
46,251,63,0.34,0
52,270,67,0.22,0
39,246,37,0.17,1
33,100,8,0.02,0
17,206,27,0.42,0
35,81,90,0.19,0
41,26,42,0.19,0
42,208,67,0.06,0
49,295,93,0.13,1
57,13,89,0.16,0
26,120,68,0.34,0
17,125,77,0.26,0
49,104,74,0.57,1
52,225,94,0.01,1
49,261,15,0.17,0
57,79,2,0.22,0
24,240,39,0.23,0
24,28,62,0.04,0
48,91,37,0.34,0
40,212,66,0.27,1
59,172,69,0.41,0
39,55,37,0.5,0
54,130,46,0.26,0
40,97,57,0.43,0
51,71,15,0.58,1
31,18,3,0.36,0
24,212,7,0.58,0
18,14,49,0.5,0
18,213,1,0.35,1
44,207,62,0.23,0
32,71,53,0.54,0
32,36,2,0.52,0
52,120,84,0.5,0
31,272,71,0.15,1
33,212,43,0.05,0
46,193,94,0.18,0
16,150,74,0.01,1
23,213,20,0.5,0
26,293,15,0.39,1
52,80,13,0.56,0
27,222,73,0.17,1
32,100,16,0.3,1
20,185,79,0.37,0
47,94,57,0.18,0
31,47,19,0.05,0
30,173,95,0.44,0
27,185,6,0.18,0
30,175,17,0.33,0
17,134,6,0.51,0
56,253,15,0.54,1
57,161,56,0.6,0
57,47,59,0.09,1
41,286,72,0.14,0
36,194,12,0.02,0
22,87,39,0.5,0
40,92,65,0.04,0
36,242,7,0.04,0
19,26,2,0.58,1
44,255,36,0.09,0
57,204,21,0.3,0
17,62,25,0.25,1
26,19,68,0.1,0
19,197,33,0.17,0
24,49,21,0.22,0
22,87,60,0.34,0
57,39,24,0.16,1
51,24,73,0.07,0
44,162,52,0.25,1
43,61,20,0.05,0
32,138,67,0.3,1
20,181,81,0.12,0
56,37,33,0.11,0
32,146,57,0.36,1
31,82,95,0.46,0
26,82,93,0.05,0
54,194,66,0.43,1
17,61,15,0.56,0
47,191,10,0.21,1
22,107,13,0.55,0
31,293,55,0.52,0
31,64,83,0.18,1
32,262,20,0.37,0
26,172,8,0.4,0
26,206,5,0.1,0
17,250,80,0.27,0
25,118,77,0.57,0
31,173,28,0.42,0
55,85,53,0.06,0
36,130,78,0.47,1
39,162,4,0.49,0
35,192,90,0.56,1
22,80,58,0.18,0
45,13,44,0.12,0
30,45,61,0.34,1
51,71,95,0.18,0
44,84,83,0.04,0
39,226,92,0.04,0
46,74,66,0.02,0
20,22,58,0.03,1
32,106,8,0.52,0
18,174,49,0.57,0
24,297,18,0.22,0
54,48,26,0.56,0
40,89,5,0.39,0
59,204,47,0.11,0
41,286,61,0.02,1
38,163,54,0.42,0
41,95,13,0.23,1
30,14,88,0.03,0
46,252,60,0.31,0
44,196,6,0.29,0
59,250,12,0.56,0
53,299,67,0.38,0
26,18,12,0.38,0
44,58,61,0.26,0
35,73,7,0.12,1
33,239,17,0.25,1
53,107,38,0.36,0
27,230,13,0.24,1
24,119,67,0.08,0
29,296,56,0.12,1
49,132,31,0.22,0
52,251,30,0.29,0
38,276,32,0.35,0
37,180,40,0.28,0
25,63,37,0.15,1
45,221,6,0.48,1
27,235,78,0.6,1
50,207,5,0.3,0
58,171,78,0.19,0
32,108,52,0.11,1
44,119,51,0.1,0
41,187,13,0.42,0
22,140,52,0.36,0
59,51,99,0.55,1
38,224,78,0.23,1
38,111,49,0.12,0
59,253,19,0.18,0
48,246,27,0.41,0
28,26,59,0.25,0
48,134,79,0.16,0
37,113,50,0.51,0
33,288,13,0.59,1
40,266,71,0.31,0
42,214,25,0.3,0
20,247,87,0.14,0
49,236,9,0.6,1
46,217,42,0.13,0
28,33,67,0.12,1
59,118,50,0.26,0
46,50,82,0.14,0
57,206,97,0.39,1
35,149,17,0.12,0
43,273,12,0.31,1
16,183,71,0.1,0
57,212,90,0.22,0
55,63,75,0.46,1
50,210,48,0.25,0
29,128,5,0.25,0
16,114,27,0.44,0
56,138,47,0.56,1
59,233,57,0.59,0
45,254,75,0.56,0
53,270,29,0.13,0
34,267,26,0.21,1
20,160,16,0.5,1
32,271,34,0.28,1
20,170,8,0.29,0
47,208,49,0.3,0
22,224,99,0.3,1
27,275,34,0.13,0
48,243,48,0.6,1
34,221,45,0.49,0
47,271,94,0.52,1
24,275,23,0.25,0
53,269,43,0.19,0
36,236,70,0.02,1
45,246,52,0.35,0
30,222,13,0.31,0
53,112,24,0.48,1
33,18,73,0.22,0
52,109,11,0.2,0
29,246,2,0.23,0
51,102,50,0.48,0
42,180,63,0.57,0
30,16,51,0.41,0
25,155,98,0.48,1
48,287,79,0.13,1
28,67,67,0.13,0
46,241,7,0.14,0
48,105,13,0.29,0
35,65,83,0.08,0
55,102,60,0.59,1
50,198,81,0.49,0
16,156,16,0.14,0
28,266,51,0.32,1
31,33,21,0.16,1
36,42,79,0.51,0
19,34,18,0.06,0
50,234,90,0.13,1
33,44,40,0.01,0
35,273,50,0.36,0
21,28,82,0.06,0
17,46,17,0.17,0
19,291,5,0.1,1
33,174,74,0.16,1
36,255,92,0.44,0
50,157,32,0.42,0
54,281,16,0.36,0
36,102,71,0.34,0
49,184,33,0.35,0
35,173,48,0.57,0
53,266,33,0.23,1
55,236,34,0.38,0
36,35,82,0.2,0
47,192,18,0.54,1
22,99,63,0.56,0
55,100,31,0.07,0
47,164,42,0.38,0
18,30,29,0.03,0
42,121,14,0.41,0
42,166,80,0.29,1
51,272,20,0.17,0
24,160,56,0.11,0
28,96,53,0.44,0
17,125,30,0.25,0
41,219,54,0.21,1
48,115,19,0.25,1
50,128,60,0.1,0
42,257,34,0.0,0
35,48,5,0.44,0
19,274,96,0.57,0
31,75,4,0.04,0
37,287,94,0.5,0
43,58,3,0.22,1
37,195,27,0.11,0
35,119,98,0.51,0
41,248,79,0.37,0
47,212,50,0.44,1
51,296,10,0.21,0
43,197,77,0.43,1
56,245,60,0.35,0
46,159,52,0.09,0
56,252,98,0.48,0
39,142,46,0.45,0
50,43,11,0.36,1
45,56,14,0.44,1
56,56,54,0.54,1
18,174,41,0.46,0
31,292,54,0.26,0
46,216,74,0.25,0
18,272,21,0.57,0
25,31,15,0.01,0
22,16,24,0.36,1
19,68,90,0.0,0
18,255,68,0.19,0
49,137,43,0.31,0
59,86,17,0.12,1
59,275,25,0.6,1
38,125,63,0.59,0
43,26,68,0.34,0
31,237,38,0.07,1
28,258,20,0.51,1
20,290,42,0.18,0
22,29,35,0.46,0
22,224,4,0.04,0
51,199,35,0.51,0
35,34,42,0.15,0
34,73,58,0.49,1
33,140,40,0.27,0
42,263,60,0.02,1
16,193,53,0.12,0
51,289,82,0.35,0
56,211,86,0.48,0
57,110,58,0.12,0
21,52,32,0.21,1
20,81,23,0.1,0
53,237,18,0.18,0
40,88,88,0.06,0
30,10,57,0.05,0
43,255,3,0.13,0
53,276,4,0.49,0
53,291,45,0.35,0
52,272,53,0.45,0
34,254,74,0.6,0
32,78,95,0.43,0
22,78,9,0.21,0
29,228,27,0.42,0
52,38,92,0.28,0
32,131,41,0.36,0
56,273,21,0.31,0
55,161,4,0.03,0
25,154,4,0.39,1
36,49,12,0.5,0
46,32,84,0.24,0
25,83,34,0.55,0
58,59,26,0.37,0
55,67,83,0.16,0
16,280,56,0.01,0
20,85,41,0.34,0
33,169,6,0.32,0
55,185,14,0.43,0
40,37,71,0.51,1
49,153,88,0.49,1
32,221,96,0.37,0
56,169,90,0.59,0
54,79,14,0.34,0
21,44,41,0.31,1
22,204,19,0.42,0
24,181,75,0.58,0
28,57,12,0.14,0
54,53,23,0.44,0
28,201,54,0.41,1
49,74,27,0.22,0
26,95,50,0.26,0
31,282,58,0.06,1
46,54,79,0.23,0
21,58,24,0.47,0
32,219,25,0.06,1
28,178,14,0.35,0
51,282,15,0.22,0
45,243,9,0.02,0
40,175,20,0.41,0
30,246,13,0.03,1
43,277,45,0.29,0
32,69,8,0.57,1
54,182,69,0.17,0
23,176,57,0.11,0
21,47,86,0.15,0
41,256,20,0.46,0
17,74,86,0.54,0
46,111,19,0.06,0
50,50,39,0.31,0
42,17,55,0.58,1
46,85,75,0.15,0
17,177,79,0.38,1
39,288,64,0.0,1
51,299,93,0.58,0
25,242,19,0.4,0
51,113,33,0.04,1
25,24,60,0.57,0
54,70,56,0.37,0
37,194,62,0.04,1
59,232,80,0.25,0
47,52,7,0.45,0
56,186,2,0.36,0
47,235,99,0.42,0
32,175,12,0.54,0
47,182,62,0.13,1
46,244,14,0.2,0
47,240,47,0.16,0
49,217,27,0.38,0
32,106,5,0.28,1
21,125,11,0.57,1
41,298,30,0.42,0
25,254,64,0.39,0
25,195,39,0.36,0
45,101,64,0.41,0
30,32,42,0.52,1
26,288,40,0.16,1
42,262,41,0.17,0
53,83,6,0.03,0
35,255,34,0.02,1
23,47,85,0.42,0
55,180,93,0.6,0
24,232,71,0.23,0
50,246,47,0.28,1
44,11,74,0.47,0
24,164,84,0.02,1
26,284,14,0.5,0
29,259,39,0.39,1
20,226,82,0.53,0
18,111,42,0.54,0
17,146,68,0.16,1
21,129,5,0.02,0
20,241,68,0.22,0
27,144,75,0.2,0
27,284,57,0.14,1
50,241,93,0.17,1
26,290,14,0.33,0
23,137,39,0.49,0
56,187,60,0.14,0
35,36,14,0.6,0
56,106,5,0.55,1
25,211,10,0.6,0
44,64,88,0.24,0
30,49,75,0.36,0
53,68,82,0.57,1
31,268,58,0.59,0
52,118,67,0.57,0
31,200,50,0.33,0
49,13,96,0.05,0
47,150,22,0.47,0
30,43,7,0.04,0
28,298,12,0.59,0
49,156,32,0.29,0
23,27,72,0.01,0
56,243,43,0.13,0
38,282,48,0.57,1
59,274,97,0.22,0
52,253,50,0.25,0
20,276,18,0.15,1
38,65,74,0.1,0
24,12,99,0.17,0
16,172,81,0.18,0
17,183,1,0.17,1
27,81,80,0.57,0
43,214,94,0.28,0
43,29,30,0.25,0
38,284,96,0.53,0
19,257,91,0.48,0
